,Ticker,Company
338,NWSA,News Corp (Class A)
339,NWS,News Corp (Class B)
340,NEE,NextEra Energy
341,NKE,"Nike, Inc."
342,NI,NiSource
343,NDSN,Nordson Corporation
344,NSC,Norfolk Southern Railway
345,NTRS,Northern Trust
346,NOC,Northrop Grumman
347,NCLH,Norwegian Cruise Line Holdings
348,NRG,NRG Energy
349,NUE,Nucor
350,NVDA,Nvidia
351,NVR,"NVR, Inc."
352,NXPI,NXP Semiconductors
353,ORLY,O'Reilly Auto Parts
354,OXY,Occidental Petroleum
355,ODFL,Old Dominion
356,OMC,Omnicom Group
357,ON,ON Semiconductor
358,OKE,ONEOK
359,ORCL,Oracle Corporation
360,OGN,Organon & Co.
361,OTIS,Otis Worldwide
362,PCAR,Paccar
363,PKG,Packaging Corporation of America
364,PARA,Paramount Global
365,PH,Parker Hannifin
366,PAYX,Paychex
367,PAYC,Paycom
368,PYPL,PayPal
369,PNR,Pentair
370,PEP,PepsiCo
371,PKI,PerkinElmer
372,PFE,Pfizer
373,PCG,PG&E Corporation
374,PM,Philip Morris International
375,PSX,Phillips 66
376,PNW,Pinnacle West
377,PXD,Pioneer Natural Resources
378,PNC,PNC Financial Services
379,POOL,Pool Corporation
380,PPG,PPG Industries
381,PPL,PPL Corporation
382,PFG,Principal Financial Group
383,PG,Procter & Gamble
384,PGR,Progressive Corporation
385,PLD,Prologis
386,PRU,Prudential Financial
387,PEG,Public Service Enterprise Group
388,PTC,PTC
389,PSA,Public Storage
390,PHM,PulteGroup
391,QRVO,Qorvo
392,PWR,Quanta Services
393,QCOM,Qualcomm
394,DGX,Quest Diagnostics
395,RL,Ralph Lauren Corporation
396,RJF,Raymond James
397,RTX,Raytheon Technologies
398,O,Realty Income
399,REG,Regency Centers
400,REGN,Regeneron
401,RF,Regions Financial Corporation
402,RSG,Republic Services
403,RMD,ResMed
404,RHI,Robert Half
405,ROK,Rockwell Automation
406,ROL,"Rollins, Inc."
407,ROP,Roper Technologies
408,ROST,Ross Stores
409,RCL,Royal Caribbean Group
410,SPGI,S&P Global
411,CRM,Salesforce
412,SBAC,SBA Communications
413,SLB,Schlumberger
414,STX,Seagate Technology
415,SEE,Sealed Air
416,SRE,Sempra Energy
417,NOW,ServiceNow
418,SHW,Sherwin-Williams
419,SPG,Simon Property Group
420,SWKS,Skyworks Solutions
421,SJM,J.M. Smucker Company (The)
422,SNA,Snap-on
423,SEDG,SolarEdge
424,SO,Southern Company
425,LUV,Southwest Airlines
426,SWK,Stanley Black & Decker
427,SBUX,Starbucks
428,STT,State Street Corporation
429,STLD,Steel Dynamics
430,STE,Steris
431,SYK,Stryker Corporation
432,SYF,Synchrony Financial
433,SNPS,Synopsys
434,SYY,Sysco
435,TMUS,T-Mobile US
436,TROW,T. Rowe Price
437,TTWO,Take-Two Interactive
438,TPR,"Tapestry, Inc."
439,TRGP,Targa Resources
440,TGT,Target Corporation
441,TEL,TE Connectivity
442,TDY,Teledyne Technologies
443,TFX,Teleflex
444,TER,Teradyne
445,TSLA,"Tesla, Inc."
446,TXN,Texas Instruments
447,TXT,Textron
448,TMO,Thermo Fisher Scientific
449,TJX,TJX Companies
450,TSCO,Tractor Supply
451,TT,Trane Technologies
452,TDG,TransDigm Group
453,TRV,Travelers Companies (The)
454,TRMB,Trimble Inc.
455,TFC,Truist
456,TYL,Tyler Technologies
457,TSN,Tyson Foods
458,USB,U.S. Bank
459,UDR,"UDR, Inc."
460,ULTA,Ulta Beauty
461,UNP,Union Pacific Corporation
462,UAL,United Airlines Holdings
463,UPS,United Parcel Service
464,URI,United Rentals
465,UNH,UnitedHealth Group
466,UHS,Universal Health Services
467,VLO,Valero Energy
468,VTR,Ventas
469,VRSN,Verisign
470,VRSK,Verisk
471,VZ,Verizon
472,VRTX,Vertex Pharmaceuticals
473,VFC,VF Corporation
474,VTRS,Viatris
475,VICI,Vici Properties
476,V,Visa Inc.
477,VMC,Vulcan Materials Company
478,WAB,Wabtec
479,WBA,Walgreens Boots Alliance
480,WMT,Walmart
481,WBD,Warner Bros. Discovery
482,WM,Waste Management
483,WAT,Waters Corporation
484,WEC,WEC Energy Group
485,WFC,Wells Fargo
486,WELL,Welltower
487,WST,West Pharmaceutical Services
488,WDC,Western Digital
489,WRK,WestRock
490,WY,Weyerhaeuser
491,WHR,Whirlpool Corporation
492,WMB,Williams Companies
493,WTW,Willis Towers Watson
494,GWW,W. W. Grainger
495,WYNN,Wynn Resorts
496,XEL,Xcel Energy
497,XYL,Xylem Inc.
498,YUM,Yum! Brands
499,ZBRA,Zebra Technologies
500,ZBH,Zimmer Biomet
501,ZION,Zions Bancorporation
502,ZTS,Zoetis
